c0      A:00 X:00 Y:00 S:FD P:nvubdizc $C79E:  78        SEI
c2      A:00 X:00 Y:00 S:FD P:nvubdIzc $C79F:  D8        CLD
c4      A:00 X:00 Y:00 S:FD P:nvubdIzc $C7A0:  A9 10     LDA $C7A1 = #$10
c6      A:10 X:00 Y:00 S:FD P:nvubdIzc $C7A2:  8D 00 20  STA
c10      A:10 X:00 Y:00 S:FD P:nvubdIzc $C7A5:  A2 FF     LDX $C7A6 = #$FF
c12      A:10 X:FF Y:00 S:FD P:NvubdIzc $C7A7:  9A        TXS
c14      A:10 X:FF Y:00 S:FF P:NvubdIzc $C7A8:  AD 02 20  LDA $2002 = #$10
c18      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c20      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c23      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c27      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c29      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c32      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c36      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c38      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c41      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c45      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c47      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c50      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c54      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c56      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c59      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c63      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c65      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c68      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c72      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c74      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c77      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c81      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c83      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c86      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c90      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c92      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c95      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c99      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c101      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c104      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c108      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c110      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c113      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c117      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c119      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c122      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c126      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c128      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c131      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c135      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c137      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c140      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c144      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c146      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c149      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c153      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c155      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c158      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c162      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c164      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c167      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c171      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c173      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c176      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c180      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c182      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c185      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c189      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c191      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c194      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c198      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c200      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c203      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c207      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c209      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c212      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c216      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c218      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c221      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c225      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c227      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c230      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c234      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c236      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c239      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c243      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c245      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c248      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c252      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c254      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c257      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c261      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c263      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c266      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c270      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c272      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c275      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c279      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c281      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c284      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c288      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c290      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c293      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c297      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c299      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c302      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c306      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c308      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c311      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c315      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c317      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c320      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c324      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c326      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c329      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c333      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c335      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c338      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c342      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c344      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c347      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c351      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c353      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c356      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c360      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c362      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c365      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c369      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c371      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c374      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c378      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c380      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c383      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c387      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c389      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c392      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c396      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c398      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c401      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c405      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c407      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c410      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c414      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c416      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c419      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c423      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c425      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c428      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c432      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c434      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c437      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c441      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c443      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c446      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c450      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
c452      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7AD:  F0 F9     BEQ $C7A8
c455      A:00 X:FF Y:00 S:FF P:nvubdIZc $C7A8:  AD 02 20  LDA $2002 = #$10
c459      A:10 X:FF Y:00 S:FF P:nvubdIzc $C7AB:  29 80     AND #$80
